symbol,date,close
AAPL,01.06.17,38.294998
AAPL,02.06.17,38.862499
AAPL,05.06.17,38.482498
AAPL,06.06.17,38.612499
AAPL,07.06.17,38.842499
AAPL,08.06.17,38.747501
AAPL,09.06.17,37.244999
AAPL,12.06.17,36.355
AAPL,13.06.17,36.647499
AAPL,14.06.17,36.290001
AAPL,15.06.17,36.072498
AAPL,16.06.17,35.567501
AAPL,19.06.17,36.584999
AAPL,20.06.17,36.252499
AAPL,21.06.17,36.467499
AAPL,22.06.17,36.407501
AAPL,23.06.17,36.57
AAPL,26.06.17,36.455002
AAPL,27.06.17,35.932499
AAPL,28.06.17,36.4575
AAPL,29.06.17,35.919998
AAPL,30.06.17,36.005001
AAPL,03.07.17,35.875
AAPL,05.07.17,36.022499
AAPL,06.07.17,35.682499
AAPL,07.07.17,36.044998
AAPL,10.07.17,36.264999
AAPL,11.07.17,36.3825
AAPL,12.07.17,36.435001
AAPL,13.07.17,36.942501
AAPL,14.07.17,37.259998
AAPL,17.07.17,37.389999
AAPL,18.07.17,37.52
AAPL,19.07.17,37.755001
AAPL,20.07.17,37.584999
AAPL,21.07.17,37.567501
AAPL,24.07.17,38.022499
AAPL,25.07.17,38.185001
AAPL,26.07.17,38.365002
AAPL,27.07.17,37.639999
AAPL,28.07.17,37.375
AAPL,31.07.17,37.182499
AAPL,01.08.17,37.512501
AAPL,02.08.17,39.285
AAPL,03.08.17,38.892502
AAPL,04.08.17,39.0975
AAPL,07.08.17,39.702499
AAPL,08.08.17,40.02
AAPL,09.08.17,40.264999
AAPL,10.08.17,38.830002
AAPL,11.08.17,39.369999
AAPL,14.08.17,39.962502
AAPL,15.08.17,40.400002
AAPL,16.08.17,40.237499
AAPL,17.08.17,39.465
AAPL,18.08.17,39.375
AAPL,21.08.17,39.302502
AAPL,22.08.17,39.945
AAPL,23.08.17,39.994999
AAPL,24.08.17,39.817501
AAPL,25.08.17,39.965
AAPL,28.08.17,40.3675
AAPL,29.08.17,40.727501
AAPL,30.08.17,40.837502
AAPL,31.08.17,41
AAPL,01.09.17,41.012501
AAPL,05.09.17,40.52
AAPL,06.09.17,40.477501
AAPL,07.09.17,40.314999
AAPL,08.09.17,39.657501
AAPL,11.09.17,40.375
AAPL,12.09.17,40.215
AAPL,13.09.17,39.912498
AAPL,14.09.17,39.57
AAPL,15.09.17,39.970001
AAPL,18.09.17,39.6675
AAPL,19.09.17,39.682499
AAPL,20.09.17,39.017502
AAPL,21.09.17,38.3475
AAPL,22.09.17,37.9725
AAPL,25.09.17,37.637501
AAPL,26.09.17,38.285
AAPL,27.09.17,38.557499
AAPL,28.09.17,38.32
AAPL,29.09.17,38.529999
AAPL,02.10.17,38.452499
AAPL,03.10.17,38.619999
AAPL,04.10.17,38.369999
AAPL,05.10.17,38.8475
AAPL,06.10.17,38.825001
AAPL,09.10.17,38.959999
AAPL,10.10.17,38.974998
AAPL,11.10.17,39.137501
AAPL,12.10.17,39
AAPL,13.10.17,39.247501
AAPL,16.10.17,39.970001
AAPL,17.10.17,40.1175
AAPL,18.10.17,39.939999
AAPL,19.10.17,38.994999
AAPL,20.10.17,39.0625
AAPL,23.10.17,39.0425
AAPL,24.10.17,39.275002
AAPL,25.10.17,39.102501
AAPL,26.10.17,39.352501
AAPL,27.10.17,40.762501
AAPL,30.10.17,41.68
AAPL,31.10.17,42.259998
AAPL,01.11.17,41.7225
AAPL,02.11.17,42.0275
AAPL,03.11.17,43.125
AAPL,06.11.17,43.5625
AAPL,07.11.17,43.702499
AAPL,08.11.17,44.060001
AAPL,09.11.17,43.970001
AAPL,10.11.17,43.6675
AAPL,13.11.17,43.4925
AAPL,14.11.17,42.834999
AAPL,15.11.17,42.27
AAPL,16.11.17,42.775002
AAPL,17.11.17,42.537498
AAPL,20.11.17,42.494999
AAPL,21.11.17,43.285
AAPL,22.11.17,43.740002
AAPL,24.11.17,43.7425
AAPL,27.11.17,43.522499
AAPL,28.11.17,43.267502
AAPL,29.11.17,42.369999
AAPL,30.11.17,42.962502
AAPL,01.12.17,42.762501
AAPL,04.12.17,42.450001
AAPL,05.12.17,42.41
AAPL,06.12.17,42.252499
AAPL,07.12.17,42.330002
AAPL,08.12.17,42.342499
AAPL,11.12.17,43.1675
AAPL,12.12.17,42.924999
AAPL,13.12.17,43.067501
AAPL,14.12.17,43.055
AAPL,15.12.17,43.4925
AAPL,18.12.17,44.105
AAPL,19.12.17,43.634998
AAPL,20.12.17,43.587502
AAPL,21.12.17,43.752499
AAPL,22.12.17,43.752499
AAPL,26.12.17,42.642502
AAPL,27.12.17,42.650002
AAPL,28.12.17,42.77
AAPL,29.12.17,42.307499
AAPL,02.01.18,43.064999
AAPL,03.01.18,43.057499
AAPL,04.01.18,43.2575
AAPL,05.01.18,43.75
AAPL,08.01.18,43.587502
AAPL,09.01.18,43.5825
AAPL,10.01.18,43.572498
AAPL,11.01.18,43.82
AAPL,12.01.18,44.272499
AAPL,16.01.18,44.047501
AAPL,17.01.18,44.775002
AAPL,18.01.18,44.814999
AAPL,19.01.18,44.615002
AAPL,22.01.18,44.25
AAPL,23.01.18,44.259998
AAPL,24.01.18,43.555
AAPL,25.01.18,42.7775
